CIDADE,ESTADO,REGIÃO,SISTEMA,OPERADORA,TIPOLOGIA DO VEÍCULO,ESTAÇÕES (nº),BICICLETAS ELÉTRICAS (nº),BICICLETAS (nº),PATINETES ELÉTRICOS (nº),VIAGENS DIÁRIAS (nº) (média),MÉDIA DISTÂNCIA PERCORRIDA POR DIA (km) (média),USUÁRIOS (nº),MULHERES (%),HOMENS (%), (%) 15 até 29 anos,(%) 30 até 59 anos,(%) Acima de 60,Emissões de CO² evitadas (tCO2e),Fonte e Escopo Temporal
Goiânia,Goiás,Centro-Oeste,Yellow,Grow,Bicicleta,dockless,,79.08,,122,201.79,93,,,45.75%,53.70%,0.55%,0.005,
Goiânia,Goiás,Centro-Oeste,GynDebike,Serttel,Bicicleta,20,,200,,206,"2211,07",6198,45.19%,54.81%,45.87%,52.57%,1.57%,0.05,
Goiânia,Goiás,Centro-Oeste,Yellow,Grow,Patinete Eletrico,dockless,,,,,1077.77,,,,41.58%,57.25%,1.17%,0.02,
Belo Horizonte,Minas Gerais,Sudeste,Yellow,Grow,Bicicleta,dockless,,164.65,,630,1498.32,492,,,54.15%,44.44%,1.41%,0.06,
Belo Horizonte,Minas Gerais,Sudeste,Bike BH,Serttel,Bicicleta,14,,140,,158,"2359,47",1049,45.57%,54.43%,43.37%,54.62%,2.00%,0.09,
Belo Horizonte,Minas Gerais,Sudeste,Yellow,Grow,Patinete Eletrico,dockless,,,,,1749.92,,,,44.51%,53.82%,1.67%,0.07,
Belém,Pará,Norte,Bike Belém,Tembici,Bicicleta,,,,,60,,,,,,,,,
Curitiba,Paraná,Sul,Yellow,Grow,Bicicleta,dockless,,199.16,,1589,4202.72,1259,,,52.01%,46.62%,1.38%,0.13,
Curitiba,Paraná,Sul,Yellow,Grow,Patinete Eletrico,dockless,,,,,2681.07,,,,46.60%,52.21%,1.19%,0.08,
Petrolina,Pernambuco,Nordeste,Petrobike,Serttel,Bicicleta,7,,70,,1,"8,40",69,40.58%,59.42%,36.23%,63.77%,0.00%,0.0003,
Recife,Pernambuco,Nordeste,Yellow,Grow,Bicicleta,dockless,,94.34,,210,467.83,158,,,48.27%,50.02%,1.71%,0.01,
Recife,Pernambuco,Nordeste,Bike PE,Tembici,Bicicleta,80,,800,,2821,14044.01,,26.38%,65.87%,58.66%,36.31%,1.38%,0.41,
Recife,Pernambuco,Nordeste,Yellow,Grow,Patinete Eletrico,dockless,,,,,698.38,,,,41.12%,57.03%,1.85%,0.02,
Maricá,Rio de Janeiro,Sudeste,Maricá,Serttel,Bicicleta,20,,200,,,,,,,,,,,
Rio de Janeiro,Rio de Janeiro,Sudeste,Bike Rio,Tembici,Bicicleta,260,,2600,,17503,97807.67,,22.59%,70.31%,38.05%,52.90%,3.02%,2.12,
Rio de Janeiro,Rio de Janeiro,Sudeste,Yellow,Grow,Patinete Eletrico,dockless,,,,,5819.05,,,,37.40%,60.68%,1.92%,0.13,
Rio de Janeiro,Rio de Janeiro,Sudeste,Lime,Lime,Patinete Eletrico,dockless,,,,,,,,,,,,,
Pelotas,Rio Grande do Sul,Sul,Bike Pel,Serttel,Bicicleta,dockless,,100,,,,,,,,,,,
Porto Alegre,Rio Grande do Sul,Sul,Yellow,Grow,Bicicleta,dockless,,128.61,,359,1159.65,288,,,43.23%,55.09%,1.68%,0.04,
Porto Alegre,Rio Grande do Sul,Sul,Bike PoA,Tembici,Bicicleta,41,,410,,2294,12777.94,,29.62%,62.80%,47.04%,43.96%,1.48%,0.42,
Porto Alegre,Rio Grande do Sul,Sul,Yellow,Grow,Patinete Eletrico,dockless,,,,,2699.08,,,,36.01%,61.96%,2.03%,0.09,
Florianópolis,Santa Catarina,Sul,Yellow,Grow,Bicicleta,dockless,,122.3,,389,1378.44,314,,,47.54%,50.49%,1.98%,0.05,
Florianópolis,Santa Catarina,Sul,Yellow,Grow,Patinete Eletrico,dockless,,,,,1797.73,,,,38.60%,59.87%,1.54%,0.07,
São José,Santa Catarina,Sul,Yellow,Grow,Bicicleta,dockless,,42.69,,144,710.31,121,,,42.30%,56.87%,0.83%,0.01,
São José,Santa Catarina,Sul,Yellow,Grow,Patinete Eletrico,dockless,,,,,708.90,,,,35.60%,63.02%,1.39%,0.01,
Bertioga,São Paulo,Sudeste,Rivibike,Tembici,Bicicleta,,,,,34,366.94,,,,,,,0.01,
Campinas,São Paulo,Sudeste,Yellow,Grow,Bicicleta,dockless,,145.61,,409,720.87,317,,,62.61%,35.79%,1.60%,0.02,
Campinas,São Paulo,Sudeste,Yellow,Grow,Patinete Eletrico,dockless,,,,,1209.10,,,,44.72%,53.70%,1.58%,0.03,
Ilhabela,São Paulo,Sudeste,Yellow,Grow,Bicicleta,dockless,,88.67,,263,837.50,171,,,45.61%,52.36%,2.03%,0.01,
Santos,São Paulo,Sudeste,Bike Santos,Serttel,Bicicleta,37,,370,,1521,"9582,30",22753,50.22%,49.78%,46.29%,50.71%,3.00%,0.29,
Santos,São Paulo,Sudeste,Yellow,Grow,Patinete Eletrico,dockless,,,,,2357.67,,,,33.13%,64.41%,2.46%,0.07,
São José dos Campos,São Paulo,Sudeste,Yellow,Grow,Bicicleta,dockless,,264.07,,908,1800.13,683,,,44.82%,53.10%,2.08%,0.05,
São José dos Campos,São Paulo,Sudeste,Mobilicidade,Mobilicidade,Bicicleta,dockless,,,,,,,,,,,,,
São José dos Campos,São Paulo,Sudeste,Bike Sanja,Serttel,Bicicleta,dockless,,100,,31,383.00,2643,58.88%,41.12%,43.24%,54.26%,2.50%,0.01,
São José dos Campos,São Paulo,Sudeste,Yellow,Grow,Patinete Eletrico,dockless,,,,,895.13,,,,33.81%,64.24%,1.95%,0.03,
São Paulo,São Paulo,Sudeste,CicloSampa,Agencia Trunfo,Bicicleta,,,,,,,,,,,,,,
São Paulo,São Paulo,Sudeste,Yellow,Grow,Bicicleta,dockless,,1372.37,,6841,12266.60,5373,,,49.41%,49.59%,1.00%,0.54,
São Paulo,São Paulo,Sudeste,Bike Sampa,Tembici,Bicicleta,260,,2700,,5800,29437.00,,19.31%,70.91%,45.71%,48.03%,0.73%,1.25,
São Paulo,São Paulo,Sudeste,Grin,Grow,Patinete Eletrico,dockless,,,,,15460.03,,,,43.14%,55.87%,0.99%,0.68,
São Paulo,São Paulo,Sudeste,Lime,Lime,Patinete Eletrico,dockless,,,,,,,,,,,,,
Sorocaba,São Paulo,Sudeste,Integrabike,Tembici,Bicicleta,,,,,,,,,,,,,,
