CIDADE,ESTADO,REGIÃO,SISTEMA,OPERADORA,TIPOLOGIA DO VEÍCULO,ESTAÇÕES (nº),BICICLETAS ELÉTRICAS (nº),BICICLETAS (nº),PATINETES ELÉTRICOS (nº),VIAGENS DIÁRIAS (nº) (média),MÉDIA DISTÂNCIA PERCORRIDA POR DIA (km) (média),USUÁRIOS (nº),MULHERES (%),HOMENS (%),(%) 15 até 29 anos,(%) 30 até 59 anos,(%) Acima de 60,Emissões de CO² evitadas (tCO2e),Fonte e Escopo Temporal
Fortaleza,Ceará,Nordeste,Bicicleta Integrada,Serttel,Bicicleta,7.00,,350.00,,128.00,,8436.00,35.40%,64.60%,33.59%,62.81%,3.59%,,
Fortaleza,Ceará,Nordeste,Bicicletar,Serttel,Bicicleta,85.00,,850.00,,1317.00,16594.20,57078.00,49.68%,50.32%,64.74%,33.83%,1.43%,0.37,
Goiânia,Goiás,Centro-Oeste,Yellow,Grow,Bicicleta,dockless,,79.00,,122.00,201.79,93.00,,,45.75%,53.70%,0.55%,0.01,
Goiânia,Goiás,Centro-Oeste,GynDebike,Serttel,Bicicleta,20.00,,200.00,,206.00,2211.07,6198.00,45.19%,54.81%,45.87%,52.57%,1.57%,0.05,
Goiânia,Goiás,Centro-Oeste,Yellow,Grow,Patinete Eletrico,dockless,,,,,1077.77,,,,41.58%,57.25%,1.17%,0.02,
Ilhabela,São Paulo,Sudeste,Yellow,Grow,Bicicleta,dockless,,88.00,,263.00,837.50,171.00,,,45.61%,52.36%,2.03%,0.01,
Manaus,Amazonas,Norte,Manôbike,Tembici,Bicicleta,,,,,,,,,,,,,,
Maricá,Rio de Janeiro,Sudeste,Maricá,Serttel,Bicicleta,20.00,,200.00,,,,,,,,,,,
Pelotas,Rio Grande do Sul,Sul,Bike Pel,Serttel,Bicicleta,dockless,,100.00,,,,,,,,,,,
Petrolina,Pernambuco,Nordeste,Petrobike,Serttel,Bicicleta,7.00,,70.00,,1.00,8.40,69.00,40.58%,59.42%,36.23%,63.77%,0.00%,0.00,
Porto Alegre,Rio Grande do Sul,Sul,Yellow,Grow,Bicicleta,dockless,,128.00,,359.00,1159.65,288.00,,,43.23%,55.09%,1.68%,0.04,
Porto Alegre,Rio Grande do Sul,Sul,Bike PoA,Tembici,Bicicleta,41.00,,410.00,,2294.00,12777.94,,29.62%,62.80%,47.04%,43.96%,1.48%,0.42,
Porto Alegre,Rio Grande do Sul,Sul,Yellow,Grow,Patinete Eletrico,dockless,,,,,2699.08,,,,36.01%,61.96%,2.03%,0.09,
Recife,Pernambuco,Nordeste,Yellow,Grow,Bicicleta,dockless,,94.00,,210.00,467.83,158.00,,,48.27%,50.02%,1.71%,0.01,
Recife,Pernambuco,Nordeste,Bike PE,Tembici,Bicicleta,80.00,,800.00,,2821.00,14044.01,,26.38%,65.87%,58.66%,36.31%,1.38%,0.41,
Recife,Pernambuco,Nordeste,Yellow,Grow,Patinete Eletrico,dockless,,,,,698.38,,,,41.12%,57.03%,1.85%,0.02,
Rio de Janeiro,Rio de Janeiro,Sudeste,Bike Rio,Tembici,Bicicleta,260.00,,2600.00,,17503.00,97807.67,,22.59%,70.31%,38.05%,52.90%,3.02%,2.12,
Rio de Janeiro,Rio de Janeiro,Sudeste,Yellow,Grow,Patinete Eletrico,dockless,,,,,5819.05,,,,37.40%,60.68%,1.92%,0.13,
Rio de Janeiro,Rio de Janeiro,Sudeste,Lime,Lime,Patinete Eletrico,dockless,,,,,,,,,,,,,
Salvador,Bahia,Nordeste,Bike Salvador,Tembici,Bicicleta,50.00,,400.00,,1284.00,8263.34,,28.55%,65.83%,40.61%,51.13%,3.95%,0.21,
Santos,São Paulo,Sudeste,Bike Santos,Serttel,Bicicleta,37.00,,370.00,,1521.00,9582.30,22753.00,50.22%,49.78%,46.29%,50.71%,3.00%,0.29,
Santos,São Paulo,Sudeste,Yellow,Grow,Patinete Eletrico,dockless,,,,,2357.67,,,,33.13%,64.41%,2.46%,0.07,
São José,Santa Catarina,Sul,Yellow,Grow,Bicicleta,dockless,,42.00,,144.00,710.31,121.00,,,42.30%,56.87%,0.83%,0.01,
São José,Santa Catarina,Sul,Yellow,Grow,Patinete Eletrico,dockless,,,,,708.90,,,,35.60%,63.02%,1.39%,0.01,
São José dos Campos,São Paulo,Sudeste,Yellow,Grow,Bicicleta,dockless,,264.00,,908.00,1800.13,683.00,,,44.82%,53.10%,2.08%,0.05,
São José dos Campos,São Paulo,Sudeste,Bike Sanja,Serttel,Bicicleta,dockless,,100.00,,31.00,383.00,2643.00,58.88%,41.12%,43.24%,54.26%,2.50%,0.01,
São José dos Campos,São Paulo,Sudeste,Yellow,Grow,Patinete Eletrico,dockless,,,,,895.13,,,,33.81%,64.24%,1.95%,0.03,
São Paulo,São Paulo,Sudeste,CicloSampa,Agencia Trunfo,Bicicleta,,,,,,,,,,,,,,
São Paulo,São Paulo,Sudeste,Yellow,Grow,Bicicleta,dockless,,1372.00,,6841.00,12266.60,5373.00,,,49.41%,49.59%,1.00%,0.54,
São Paulo,São Paulo,Sudeste,Bike Sampa,Tembici,Bicicleta,260.00,,2700.00,,5800.00,29437.00,,19.31%,70.91%,45.71%,48.03%,0.73%,1.25,
São Paulo,São Paulo,Sudeste,Grin,Grow,Patinete Eletrico,dockless,,,,,15460.03,,,,43.14%,55.87%,0.99%,0.68,
São Paulo,São Paulo,Sudeste,Lime,Lime,Patinete Eletrico,dockless,,,,,,,,,,,,,
Serra,Espírito Santo,Sudeste,Bike Serra,Serttel,Bicicleta,20.00,,200.00,,177.00,2147.60,4148.00,49.04%,50.96%,40.02%,58.32%,1.66%,0.08,
Sorocaba,São Paulo,Sudeste,Integrabike,Tembici,Bicicleta,,,,,,,,,,,,,,
Vila Velha,Espírito Santo,Sudeste,Bike VV,Tembici,Bicicleta,20.00,,200.00,,2059.00,10686.35,,30.91%,59.60%,37.46%,47.25%,3.24%,0.39,
Vila Velha,Espírito Santo,Sudeste,Yellow,Grow,Patinete Eletrico,dockless,,,,,,,,,,,,,
Vitória,Espírito Santo,Sudeste,Yellow,Grow,Bicicleta,dockless,,331.00,,1909.00,3895.15,1361.00,,,45.07%,52.86%,2.08%,0.14,
Vitória,Espírito Santo,Sudeste,Bike Vitória,Serttel,Bicicleta,33.00,,330.00,,655.00,5807.67,15752.00,50.66%,49.34%,44.06%,53.76%,2.18%,0.20,
Vitória,Espírito Santo,Sudeste,Yellow,Grow,Patinete Eletrico,dockless,,,,,2181.13,,,,35.89%,62.17%,1.94%,0.08,
